job_title,company,url,salary_min,salary_max,requirements,source
Водитель автомобиля категории ВС,Черногоравтотранс,https://hh.ru/vacancy/89601562,0,0,наличие водительского удостоверения кат. ВС. - опыт вождения от 2-х лет.,Head Hunter
Персональный водитель,Керамакс,https://hh.ru/vacancy/92196705,150000,0,"Опыт работы персональным <highlighttext>водителем</highlighttext> от 3 лет. Комфортное вождение. Вежливость, пунктуальность. Стрессоустойчивость.",Head Hunter
Водитель персональный,Радиоавтоматика,https://hh.ru/vacancy/92190858,132000,0,"Опыт работы персональным <highlighttext>водителем</highlighttext> на автомобилях представительского класса. Хорошее знание Москвы и МО, умение составлять оптимальные маршруты передвижения. ",Head Hunter
Личный водитель,Овсянкин Илья Алексеевич,https://hh.ru/vacancy/92120675,120000,0,Опыт работы на авто премиум класса. Знание Москвы. Опыт работы в данной сфере не менее 5 лет.,Head Hunter
Персональный водитель руководителя,Российская финансовая группа,https://hh.ru/vacancy/92216208,0,120000,Никаких лицензий на охранную деятельность или оружие не требуется. Работа исключительно <highlighttext>водителем</highlighttext> (не охранник; охранника нет). Пунктуальность. Дружелюбность. Позитивный настрой.,Head Hunter
Персональный водитель руководителя,Тридевятое Царство,https://hh.ru/vacancy/92148768,150000,150000,"Опыт работы от 5 лет в должности персонального <highlighttext>водителя</highlighttext>, требуется предоставление отзывов с прошлых мест работы. Опыт вождения от 10...",Head Hunter
Персональный водитель руководителя,ХАГЕМАЕР ГРУПП,https://hh.ru/vacancy/92092800,150000,0,"Знание устройство автомобиля представительского класса. - Мобильность, готовность к командировкам. - Навыки аккуратного и безопасного вождения, навыки экстремального вождения. - Уверенное знание города...",Head Hunter
Персональный водитель генерального директора,Три Эс Груп,https://hh.ru/vacancy/92108424,0,150000,Знание дорог Москвы и МО. Обязателен опыт работы персональным <highlighttext>водителем</highlighttext> первых лиц от 5-ти лет. Опыт вождения машин премиум...,Head Hunter
Водитель семейный,ЧОП АСТГАРД,https://hh.ru/vacancy/92220023,130000,130000,"Аккуратное вождение, безаварийное. Пунктуальность. Опыт от 3 лет. Хорошее знание Москвы.",Head Hunter
Персональный водитель,Премиум Сервис,https://hh.ru/vacancy/92150722,150000,0,Знание картографии Москвы и МО. Хорошие навыки вождения. Стрессоустойчивость. Стаж вождения мин. от 5 лет. Навыки вождения на машинах премиум...,Head Hunter
Водитель-перегонщик,Авторитэйл М,https://hh.ru/vacancy/92217054,80000,120000,"Категория В, С (обязательно), D. Аккуратный стиль вождения. Образование средне-специальное. Опыт работы на перегоне не менее 3-х лет. ",Head Hunter
Водитель легкового автомобиля,Башнефтегеофизика,https://hh.ru/vacancy/92180853,120000,0,"Ответственность, знание и строгое соблюдение правил ОТ и ПБ. Права категории B. Подтвержденный стаж вождения от 2 лет. ",Head Hunter
Личный водитель легкового автомобиля,СЗ Юг Строй,https://hh.ru/vacancy/92201804,80000,0,"пунктуальность, ответственность, аккуратность, исполнительность.",Head Hunter
Персональный водитель руководителя,Алия,https://hh.ru/vacancy/92200292,50000,60000,Ответственность. Коммуникабельность. Доброжелательность.,Head Hunter
Водитель автомобиля легкового,Британская международная школа,https://hh.ru/vacancy/92223391,95000,130000,"Опыт работы <highlighttext>водителем</highlighttext> легкового автомобиля от 6 лет. Дисциплинированность, аккуратность, тактичность. Хорошее знание г. Москвы и Московской области. ",Head Hunter
Водитель офисный,СК ЭНЕРГИЯ,https://hh.ru/vacancy/92146078,60000,0,Отличное знание города и дорог Нижнего Новгорода.  Обеспечение комфортного сопровождения.  Опыт работы <highlighttext>водителем</highlighttext> от 3 лет.  Готовность к работе в...,Head Hunter
Персональный водитель руководителя,Brooklands,https://hh.ru/vacancy/92202795,100000,0,"Опыт работы от 5 лет в должности персонального <highlighttext>водителя</highlighttext>, требуется предоставление отзывов с прошлых мест работы. Опыт вождения от 10...",Head Hunter
Водитель персональный,БСК,https://hh.ru/vacancy/92184141,50000,0,"Знание общего устройства автомобиля, его технические характеристики. Пунктуальность.",Head Hunter
Водитель автомобиля легкового,Стройтранснефтегаз,https://hh.ru/vacancy/92177591,110000,120000,"Опыт работы подтвержденный по трудовой книжке от 1-го года обязателен. Наличие водительского удостоверения категорий ""В"". Опыт работы вахтовым методом...",Head Hunter
Персональный водитель (м.Фрунзенская),Сарк.Ко Л,https://hh.ru/vacancy/92189477,150000,0,Опыт работы персональным <highlighttext>водителем</highlighttext> от 5 лет! Опыт работы должен быть подтверждённым рекомендациями это запись в трудовой или номер телефон...,Head Hunter
